AGCT,N
114497776,1
114497851,1
114498124,1
114498233,1
114498404,1
114498570,1
114498598,1
114498782,1
114498893,1
114499283,1
114499335,1
114499361,1
114499376,1
114499421,1
114499463,1
114499601,1
114499810,1
114499891,1
114499905,1
114499919,1
114499924,1
114499988,1
114500024,1
114500029,1
114500069,1
114500079,1
114500089,1
114500109,1
114500161,1
114500186,1
114500201,1
114500206,1
114500249,1
114500259,1
114500284,1
114500289,1
114500304,1
114500314,1
114500319,1
114500358,1
114500363,1
114500378,1
114500413,1
114500595,1
114500600,1
114500605,1
114500610,1
114500615,1
114500620,1
114500625,1
114500630,1
114500645,1
114500655,1
114500699,1
114500709,1
114500729,1
114500779,1
114500789,1
114500794,1
114500809,1
114500859,1
114500869,1
114500874,1
114500889,1
114500924,1
114500929,1
114500939,1
114500944,1
114500959,1
114500993,1
114501018,1
114501023,1
114501038,1
114501073,1
114501088,1
114501098,1
114501103,1
114501113,1
114501118,1
114501158,1
114501168,1
114501178,1
114501183,1
114501198,1
114501233,1
114501238,1
114501253,1
114501267,1
114501315,1
114501369,1
114501442,1
114501447,1
114501452,1
114501497,1
114501507,1
114501532,1
114501537,1
114501551,1
114501576,1
114501595,1
114501605,1
114501615,1
114501625,1
114501670,1
114501742,1
114501899,1
114501988,1
114502028,1
114502052,1
114502072,1
114502123,1
114502243,1
114502283,1
114502293,1
114502332,1
114502362,1
114502392,1
114502402,1
114502464,1
114502524,1
114502637,1
114502642,1
114502647,1
114502657,1
114502687,1
114502697,1
114502707,1
114502791,1
114502796,1
114502801,1
114502811,1
114502831,1
114502836,1
114502936,1
114502971,1
114503251,1
114503280,1
114503310,1
114503550,1
114503665,1
114503855,1
114503977,1
114503993,1
114660368,1
114660517,1
114660542,1
114660547,1
114661126,1
114661396,1
114661572,1
114661613,1
114661661,1
114661676,1
114661698,1
114661752,1
114661800,1
114661891,1
114661911,1
114661926,1
114661951,1
114661989,1
114662115,1
114662140,1
114662160,1
114662165,1
114662173,1
114662192,1
114662217,1
114662226,1
114662251,1
114662266,1
114662324,1
114662344,1
114662354,1
114662359,1
114662368,1
114662383,1
114662398,1
114662423,1
114662438,1
114662478,1
114662483,1
114662493,1
114662517,1
114662522,1
114662532,1
114662537,1
114662542,1
114662552,1
114662557,1
114662562,1
114662572,1
114662577,1
114662587,1
114662592,1
114662597,1
114662607,1
114662612,1
114662622,1
114662627,1
114662637,1
114662647,1
114662652,1
114662657,1
114662667,1
114662677,1
114662687,1
114662697,1
114662707,1
114662717,1
114662722,1
114662727,1
114662737,1
114662747,1
114662757,1
114662762,1
114662767,1
114662777,1
114662797,1
114662802,1
114662812,1
114662817,1
114662822,1
114662827,1
114662837,1
114662842,1
114662847,1
114662857,1
114662862,1
114662867,1
114662877,1
114662882,1
114662887,1
114662897,1
114662902,1
114662912,1
114662922,1
114662932,1
114662942,1
114662952,1
114662962,1
114662967,1
114662972,1
114662982,1
114662987,1
114662992,1
114662997,1
114663002,1
114663007,1
114663012,1
114663017,1
114663022,1
114663027,1
114663032,1
114663037,1
114663042,1
114663047,1
114663052,1
114663057,1
114663062,1
114663072,1
114663082,1
114663087,1
114663097,1
114663102,1
114663107,1
114663117,1
114663122,1
114663127,1
114663132,1
114663137,1
114663147,1
114663157,1
114663167,1
114663177,1
114663182,1
114663192,1
114663197,1
114663202,1
114663212,1
114663222,1
114663227,1
114663232,1
114663237,1
114663247,1
114663252,1
114663257,1
114663262,1
114663267,1
114663272,1
114663282,1
114663287,1
114663292,1
114663302,1
114663307,1
114663317,1
114663322,1
114663327,1
114663337,1
114663342,1
114663352,1
114663362,1
114663367,1
114663372,1
114663382,1
114663387,1
114663392,1
114663402,1
114663407,1
114663417,1
114663427,1
114663437,1
114663447,1
114663457,1
114663467,1
114663472,1
114663482,1
114663487,1
114663492,1
114663502,1
114663512,1
114663522,1
114663527,1
114663532,1
114663542,1
114663552,1
114663562,1
114663572,1
114663577,1
114663582,1
114663592,1
114663597,1
114663602,1
114663611,1
114663616,1
114663626,1
114663631,1
114663641,1
114663651,1
114663656,1
114663681,1
114663710,1
114663735,1
114663740,1
114663750,1
114663760,1
114663794,1
114663863,1
114663876,1
114663922,1
114663995,1
114664000,1
114664065,1
114664175,1
114664431,1
114664656,1
114664825,1
114664846,1
